county_fips,state_name,county_name,mobility_score,ai_exposure
01001,Alabama,Autauga,0.42210674,-0.7004653
01003,Alabama,Baldwin,0.44183332,-0.6358306
01005,Alabama,Barbour,0.39945862,-1.192217
01007,Alabama,Bibb,0.43704113,-0.6349329
01009,Alabama,Blount,0.47577742,0.5154838
01011,Alabama,Bullock,0.38370493,0.5297253
01013,Alabama,Butler,0.40511528,-0.2586553
01015,Alabama,Calhoun,0.41671559,0.0325176
01017,Alabama,Chambers,0.41033429,-1.29771
01019,Alabama,Cherokee,0.45981252,0.9980787
01021,Alabama,Chilton,0.42827711,0.6006168
01023,Alabama,Choctaw,0.43446788,-0.9606203
01025,Alabama,Clarke,0.43344635,-1.522268
01027,Alabama,Clay,0.42726657,1.520164
01029,Alabama,Cleburne,0.49904719,2.306943
01031,Alabama,Coffee,0.42431396,-0.6304043
01033,Alabama,Colbert,0.43646497,-0.8779106
01035,Alabama,Conecuh,0.39967573,-0.5892835
01037,Alabama,Coosa,0.45159179,2.465885
01039,Alabama,Covington,0.4531717,1.245526
01041,Alabama,Crenshaw,0.47456306,-1.699608
01043,Alabama,Cullman,0.47842214,-0.7087454
01045,Alabama,Dale,0.41582072,0.2418638
01047,Alabama,Dallas,0.38933855,0.4795224
01049,Alabama,DeKalb,0.46685898,0.0045424
01051,Alabama,Elmore,0.430769,-0.9159446
01053,Alabama,Escambia,0.42787582,-0.1087469
01055,Alabama,Etowah,0.41541746,-0.0570396
01057,Alabama,Fayette,0.44978282,0.5928427
01059,Alabama,Franklin,0.47534686,-0.9889871
01061,Alabama,Geneva,0.44228292,-0.1518367
01063,Alabama,Greene,0.37469178,-2.279977
01065,Alabama,Hale,0.41052616,1.193758
01067,Alabama,Henry,0.40485677,-0.6244182
01069,Alabama,Houston,0.4058333,-0.086216
01071,Alabama,Jackson,0.45631319,1.573224
01073,Alabama,Jefferson,0.39635575,0.8040968
01075,Alabama,Lamar,0.44684258,0.5597874
01077,Alabama,Lauderdale,0.4503904,0.0153885
01079,Alabama,Lawrence,0.4400987,1.636416
01081,Alabama,Lee,0.41902024,-0.4407968
01083,Alabama,Limestone,0.4426879,-0.3781219
01085,Alabama,Lowndes,0.38328856,-0.9963984
01087,Alabama,Macon,0.3629258,1.57472
01089,Alabama,Madison,0.40428072,1.530059
01091,Alabama,Marengo,0.39307147,0.0439254
01093,Alabama,Marion,0.47241631,0.7724687
01095,Alabama,Marshall,0.44694662,-1.546875
01097,Alabama,Mobile,0.40077299,0.4381237
01099,Alabama,Monroe,0.41708186,-0.9257059
01101,Alabama,Montgomery,0.37519681,0.657557
01103,Alabama,Morgan,0.43847048,0.10284
01105,Alabama,Perry,0.39283302,-1.097994
01107,Alabama,Pickens,0.44028059,-2.066845
01109,Alabama,Pike,0.39999995,-0.8466054
01111,Alabama,Randolph,0.44564342,1.49553
01113,Alabama,Russell,0.38459915,1.003071
01115,Alabama,St. Clair,0.45151728,-0.4671196
01117,Alabama,Shelby,0.45358551,0.8177338
01119,Alabama,Sumter,0.37182263,-1.294348
01121,Alabama,Talladega,0.42108262,-0.1755718
01123,Alabama,Tallapoosa,0.4108395,-0.1034041
01125,Alabama,Tuscaloosa,0.41415721,-0.5568174
01127,Alabama,Walker,0.46071193,-0.3574956
01129,Alabama,Washington,0.49046355,-1.962855
01131,Alabama,Wilcox,0.37644082,-1.264932
01133,Alabama,Winston,0.48860002,-1.340532
02013,Alaska,Aleutians East,,-3.137842
02020,Alaska,Anchorage,0.43242475,0.5144143
02050,Alaska,Bethel,0.24165374,3.34513
02060,Alaska,Bristol Bay,,-0.816102
02068,Alaska,Denali,0.48602384,-1.786892
02070,Alaska,Dillingham,0.21733043,-3.06179
02090,Alaska,Fairbanks North Star,0.44392297,-0.3741544
02105,Alaska,Hoonah-Angoon,0.71349341,0.3705505
02110,Alaska,Juneau,0.43770769,0.3748784
02122,Alaska,Kenai Peninsula,0.42653316,-0.5016369
02130,Alaska,Ketchikan Gateway,0.41437298,-0.5065369
02150,Alaska,Kodiak Island,0.4533928,-0.8339964
02164,Alaska,Lake and Peninsula,0.21861473,-0.8727115
02170,Alaska,Matanuska-Susitna,0.4129492,-0.2462227
02180,Alaska,Nome,0.29598439,2.715183
02185,Alaska,North Slope,0.33905429,-1.47474
02188,Alaska,Northwest Arctic,0.28842095,2.844903
02195,Alaska,Petersburg,0.49829602,-3.024951
02198,Alaska,Prince of Wales-Hyder,0.42318541,-0.6674522
02220,Alaska,Sitka,0.38298815,-1.206666
02240,Alaska,Southeast Fairbanks,0.54526019,1.889208
02261,Alaska,Valdez-Cordova,0.46477991,-1.525191
02275,Alaska,Wrangell,0.36469156,-2.163131
02290,Alaska,Yukon-Koyukuk,0.31192261,3.140746
04001,Arizona,Apache,0.34356835,2.325514
04003,Arizona,Cochise,0.439677,0.8613644
04005,Arizona,Coconino,0.42088383,-0.2298305
04007,Arizona,Gila,0.41229331,-0.6104304
04009,Arizona,Graham,0.40042481,0.6650406
04011,Arizona,Greenlee,0.44446209,-3.617044
04012,Arizona,La Paz,0.42075685,-0.050122
04013,Arizona,Maricopa,0.43023828,0.9336246
04015,Arizona,Mohave,0.41505483,-0.1346637
04017,Arizona,Navajo,0.3838546,0.5995815
04019,Arizona,Pima,0.41333887,0.8283342
04021,Arizona,Pinal,0.41569617,0.3895851
04023,Arizona,Santa Cruz,0.44379941,-0.9670516
04025,Arizona,Yavapai,0.45588472,-0.0219391
04027,Arizona,Yuma,0.43848592,-1.021152
05001,Arkansas,Arkansas,0.42812362,-0.3089388
05003,Arkansas,Ashley,0.42423958,1.569059
05005,Arkansas,Baxter,0.43419215,1.544387
05007,Arkansas,Benton,0.46844584,0.4942404
05009,Arkansas,Boone,0.45394665,0.0815986
05011,Arkansas,Bradley,0.45219415,-0.7999387
05013,Arkansas,Calhoun,0.45049942,-0.8669834
05015,Arkansas,Carroll,0.47430545,-0.8334183
05017,Arkansas,Chicot,0.37506798,-0.7417227
05019,Arkansas,Clark,0.42745528,1.200896
05021,Arkansas,Clay,0.45136392,-1.05773
05023,Arkansas,Cleburne,0.4763425,1.373606
05025,Arkansas,Cleveland,0.43750316,0.9567203
05027,Arkansas,Columbia,0.41178617,-0.6167367
05029,Arkansas,Conway,0.47331908,1.157737
05031,Arkansas,Craighead,0.44093156,-0.1129257
05033,Arkansas,Crawford,0.44374108,0.05022
05035,Arkansas,Crittenden,0.37574762,-0.0467343
05037,Arkansas,Cross,0.42981333,0.0002297
05039,Arkansas,Dallas,0.39614743,-2.776741
05041,Arkansas,Desha,0.41229174,-0.2465958
05043,Arkansas,Drew,0.43332133,0.9420977
05045,Arkansas,Faulkner,0.44397271,0.3582212
05047,Arkansas,Franklin,0.45501766,0.5261148
05049,Arkansas,Fulton,0.4910008,-0.6952922
05051,Arkansas,Garland,0.41961667,0.2424662
05053,Arkansas,Grant,0.47509584,-1.701272
05055,Arkansas,Greene,0.45711148,0.4557584
05057,Arkansas,Hempstead,0.42502519,2.068394
05059,Arkansas,Hot Spring,0.41895899,1.263164
05061,Arkansas,Howard,0.45547178,1.989296
05063,Arkansas,Independence,0.46097496,-0.2189334
05065,Arkansas,Izard,0.4516342,1.673775
05067,Arkansas,Jackson,0.4550544,0.5141554
05069,Arkansas,Jefferson,0.38456833,0.8384994
05071,Arkansas,Johnson,0.45767328,1.661813
05073,Arkansas,Lafayette,0.39248845,0.0530177
05075,Arkansas,Lawrence,0.46980679,0.1289226
05077,Arkansas,Lee,0.41407007,0.6714036
05079,Arkansas,Lincoln,0.42401904,-2.157956
05081,Arkansas,Little River,0.43966076,0.4126382
05083,Arkansas,Logan,0.46146753,-1.042904
05085,Arkansas,Lonoke,0.43699503,0.3408749
05087,Arkansas,Madison,0.48760474,-1.408683
